City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Betera,ES,39.5833,-0.45,80.85,63,0,2.3,clear sky
80,Kaeo,NZ,-35.1,173.7833,54.32,85,100,6.17,light rain
81,Tura,IN,25.5198,90.2201,90.88,60,79,1.83,broken clouds
82,Almeirim,BR,-1.5233,-52.5817,72.43,96,51,2.51,broken clouds
83,Leningradskiy,RU,69.3833,178.4167,35.33,77,53,5.97,broken clouds
84,Codrington,AU,-38.2667,141.9667,55.11,67,100,9.57,overcast clouds
85,Ballina,AU,-28.8667,153.5667,63.01,69,54,11.9,broken clouds
86,Kommunar,RU,59.6206,30.39,65.52,69,95,5.84,overcast clouds
87,Ushuaia,AR,-54.8,-68.3,24.46,86,0,2.3,clear sky
88,Nicoya,CR,10.1483,-85.452,74.26,93,100,1.05,overcast clouds
89,Vardo,NO,70.3705,31.1107,57.18,88,0,9.22,clear sky
90,Bredasdorp,ZA,-34.5322,20.0403,47.39,88,18,2.77,few clouds
91,Tornio,FI,65.8481,24.1466,62.62,81,59,10.58,broken clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,100,4.76,overcast clouds
93,Tucuman,AR,-26.8241,-65.2226,41.0,87,0,3.44,clear sky
94,Uglegorsk,RU,49.0833,142.0333,62.67,78,96,4.68,overcast clouds
95,Georgetown,MY,5.4112,100.3354,91.33,66,20,10.36,few clouds
96,Bardiyah,LY,31.7561,25.0865,78.1,61,0,22.12,clear sky
97,Tenenkou,ML,14.4572,-4.9169,81.72,62,27,11.12,scattered clouds
98,Chuy,UY,-33.6971,-53.4616,59.16,99,100,8.39,overcast clouds
99,Tessalit,ML,20.1986,1.0114,89.42,36,12,11.88,few clouds
100,Lovington,US,32.944,-103.3485,78.17,50,11,1.99,few clouds
101,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.14,89,29,12.1,scattered clouds
102,Mahibadhoo,MV,3.7833,72.9667,83.62,75,97,11.43,overcast clouds
103,Saskylakh,RU,71.9167,114.0833,58.71,43,17,8.79,few clouds
104,Clyde River,CA,70.4692,-68.5914,41.23,87,0,3.44,clear sky
105,Menzelinsk,RU,55.7271,53.1026,65.68,95,100,7.78,moderate rain
106,Okato,NZ,-39.2,173.8833,50.18,77,93,5.01,overcast clouds
107,Nikolskoye,RU,59.7035,30.7861,66.87,70,96,5.12,overcast clouds
108,Burgeo,CA,47.6167,-57.6152,57.42,78,29,2.04,scattered clouds
109,Satinka,RU,52.3792,41.6819,66.56,67,23,14.88,few clouds
110,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,93,63,11.45,light rain
111,Ponnampet,IN,12.15,75.9333,73.44,75,99,10.71,overcast clouds
112,Coahuayana,MX,18.7333,-103.6833,78.8,88,94,1.05,overcast clouds
113,Tilichiki,RU,60.4667,166.1,57.7,88,100,8.68,overcast clouds
114,Adrar,MR,20.5022,-10.0711,90.64,29,53,15.66,broken clouds
115,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,40,12.66,scattered clouds
116,Tanout,NE,14.9709,8.8879,83.39,57,80,17.34,broken clouds
117,Samarai,PG,-10.6167,150.6667,77.4,65,100,18.32,overcast clouds
118,Saldanha,ZA,-33.0117,17.9442,48.25,82,37,7.99,scattered clouds
119,Maningrida,AU,-12.0667,134.2667,81.23,46,87,13.85,overcast clouds
120,Pedernales,DO,18.0384,-71.744,79.88,71,66,3.94,broken clouds
121,Torbay,CA,47.6666,-52.7314,58.28,92,100,5.75,fog
122,Ugoofaaru,MV,5.6667,73.0,83.44,76,81,13.94,broken clouds
123,Quthing,LS,-30.4,27.7003,46.17,45,0,2.57,clear sky
124,Moron,AR,-34.6534,-58.6198,51.96,99,90,6.73,light rain
125,Kruisfontein,ZA,-34.0033,24.7314,49.95,83,0,5.17,clear sky
126,Mount Pleasant,US,32.7941,-79.8626,77.0,94,20,1.01,few clouds
127,Doha,QA,25.2867,51.5333,100.71,61,99,8.05,haze
128,Siilinjarvi,FI,63.0833,27.6667,59.02,72,75,10.36,broken clouds
129,Barrow,US,71.2906,-156.7887,35.62,75,100,10.36,overcast clouds
130,San Cristobal,VE,7.7669,-72.225,65.8,92,43,1.19,scattered clouds
131,Salalah,OM,17.0151,54.0924,77.27,95,100,5.01,overcast clouds
132,Ilulissat,GL,69.2167,-51.1,51.82,43,75,18.41,broken clouds
133,Pokrovsk,UA,48.282,37.1758,72.45,51,0,6.8,clear sky
134,Aloleng,PH,16.1307,119.7824,86.41,73,33,12.71,light rain
135,Rubtsovsk,RU,51.5,81.25,74.61,37,100,8.93,overcast clouds
136,Semenivka,UA,52.1783,32.5818,64.54,68,24,4.45,few clouds
137,Ahipara,NZ,-35.1667,173.1667,53.82,79,99,7.25,overcast clouds
138,Walvis Bay,NA,-22.9575,14.5053,70.75,24,0,24.16,clear sky
139,High Prairie,CA,55.4334,-116.4858,55.2,81,78,1.3,broken clouds
140,Castro,BR,-24.7911,-50.0119,55.02,77,15,5.77,few clouds
141,Carnarvon,AU,-24.8667,113.6333,72.28,59,1,11.34,clear sky
142,Saint-Augustin,CA,51.226,-58.6502,55.4,77,23,4.52,few clouds
143,Santa Maria,BR,-29.6842,-53.8069,62.01,97,100,5.46,overcast clouds
144,Miraflores,MX,19.2167,-98.8083,61.45,92,98,2.44,overcast clouds
145,Haines Junction,CA,60.7522,-137.5108,51.75,93,100,1.14,overcast clouds
146,Asau,RO,46.4333,26.4,72.52,53,54,4.79,broken clouds
147,Isangel,VU,-19.55,169.2667,75.31,83,100,11.5,overcast clouds
148,Hamilton,US,39.1834,-84.5333,70.41,84,0,0.0,clear sky
149,Mahebourg,MU,-20.4081,57.7,74.25,73,40,12.66,scattered clouds
150,Vieste,IT,41.8825,16.175,78.71,49,18,2.68,few clouds
151,Challapata,BO,-18.9,-66.7667,32.5,56,1,6.8,clear sky
152,Chokurdakh,RU,70.6333,147.9167,69.48,44,100,6.26,overcast clouds
153,Kaitangata,NZ,-46.2817,169.8464,41.23,92,100,7.56,overcast clouds
154,Kosikha,RU,53.3617,84.5822,68.88,43,100,7.56,overcast clouds
155,Tuktoyaktuk,CA,69.4541,-133.0374,36.55,83,98,19.33,overcast clouds
156,Marawi,PH,7.9986,124.2928,75.33,90,100,3.15,overcast clouds
157,Aklavik,CA,68.2191,-135.0107,41.79,75,87,9.91,overcast clouds
158,East London,ZA,-33.0153,27.9116,54.54,71,0,8.05,clear sky
159,Mandalgovi,MN,45.7625,106.2708,70.43,41,97,5.01,overcast clouds
160,Papenburg,DE,53.0667,7.4,60.96,91,82,4.0,broken clouds
161,Kulhudhuffushi,MV,6.6221,73.07,82.67,80,99,14.76,overcast clouds
162,Aksarka,RU,66.5606,67.7975,72.34,56,12,12.08,few clouds
163,Khani,GE,41.9563,42.9566,65.77,64,8,3.96,clear sky
164,Tay Ninh,VN,11.3,106.1,88.83,63,67,8.99,broken clouds
165,Puerto Montt,CL,-41.4698,-72.9447,36.66,80,35,1.83,scattered clouds
166,High Level,CA,58.5169,-117.136,57.31,82,0,0.0,clear sky
167,Cheremukhovo,RU,60.3484,59.9851,79.75,55,93,4.99,overcast clouds
168,Conde,BR,-7.2597,-34.9075,71.06,94,0,9.22,clear sky
169,Zhigansk,RU,66.7697,123.3711,69.58,58,43,14.56,scattered clouds
170,Ulladulla,AU,-35.35,150.4667,55.02,59,1,4.83,clear sky
